observationTime,rf_prediction,actual,ECMWF,xgb_predicted,ensemble_rf_pred
2025-01-12,0.9090000000000004,1.1,0.8748866,0.98621345,
2025-01-13,0.074,0.0,0.036483586,0.18236518,
2025-01-14,0.7180000000000001,0.9,1.533415,0.96481854,
2025-01-15,0.498,0.5,0.3472619,0.30826077,
2025-01-16,0.7389999999999999,0.2,0.6552352,0.5827595,
2025-01-17,0.0979999999999999,0.0,0.03292179,0.16393451,
2025-01-18,0.036,0.0,0.02362895,0.12317774,
2025-01-19,0.101,0.0,0.18081877,0.11738333,
2025-01-20,0.118,0.0,0.11115846,0.1445354,
2025-01-21,0.032,0.0,0.027579062,0.035909668,
2025-01-22,0.4150000000000001,0.1,0.820318,0.5634986,
2025-01-23,0.1479999999999999,0.0,0.17497039,0.07852554,
2025-01-24,1.2119790412194356,0.3,1.6433119,1.3619132,
2025-01-25,0.1689999999999999,0.0,0.2745614,0.4123158,
2025-01-26,0.4190000000000001,0.0,0.6162438,0.6280492,
2025-01-27,0.044,0.1,0.16971567,0.22890541,
2025-01-28,0.0579999999999999,0.0,0.23424584,0.46170983,
2025-01-29,0.905,3.9,1.0380542,1.0616559,
2025-01-30,0.215,0.0,0.16821074,0.41511613,
2025-01-31,5.088000000000001,1.0,7.871188,5.512503,
2025-02-01,4.751,5.2,5.00943,3.6590335,
2025-02-02,1.3709999999999996,0.9000000000000001,0.7909312,0.5982051,
2025-02-03,1.3239999999999994,0.5,0.7470814,0.6753763,
2025-02-04,0.328,0.1,0.47275412,0.32542968,
2025-02-05,0.1579999999999999,0.0,0.16351557,0.097150475,
2025-02-06,0.1649999999999999,0.1,0.29871166,0.22739013,
2025-02-07,0.134,0.0,0.06521994,0.084903404,
2025-02-08,0.019,0.0,0.009410318,0.033924438,
2025-02-09,0.019,0.0,0.01181443,0.044273086,
2025-02-10,0.289,0.0,0.07605907,0.051409967,
2025-02-11,0.42,0.0,0.11610438,0.052541725,
2025-02-12,0.0889999999999999,0.0,0.0,0.012363702,
2025-02-13,0.1629999999999999,0.0,0.0,0.04557018,
2025-02-14,0.379,0.0,0.24095957,0.060745433,
2025-02-15,0.1949999999999999,0.2,0.24265471,0.13748074,
2025-02-16,0.105,0.0,0.035507947,0.09488343,
2025-02-17,5.404999999999999,2.4,6.299965,5.7661657,
2025-02-18,1.915999999999999,0.8,1.8545132,1.209071,
2025-02-19,0.057,0.5,0.09609008,0.10204021,
2025-02-20,0.244,0.6,0.16779387,0.12313762,
2025-02-21,0.03,0.0,0.0,0.109283835,
2025-02-22,0.01,0.0,0.0,0.044151373,
2025-02-23,0.004,0.0,0.0,0.0790844,
2025-02-24,0.0,0.0,0.0,0.026404124,
2025-02-25,0.0,0.0,0.0,0.009509506,
2025-02-26,0.02,0.0,0.038710117,0.041668795,
2025-02-27,0.473,2.3,0.41250533,0.27135888,
2025-02-28,8.10795808243887,2.7,3.4046297,1.7069796,
2025-03-01,1.80795808243887,2.9,2.0741098,1.1215715,
2025-03-02,1.4000000000000004,0.2,0.67780113,0.5021403,
2025-03-03,0.239,0.0,0.27257788,0.25220495,
2025-03-04,0.4920000000000003,0.0,0.48705894,0.7928464,
2025-03-05,0.826,0.0,0.4176253,0.4288958,
2025-03-06,0.058,0.0,0.025239468,4.796275,
2025-03-07,0.014,0.0,0.0,4.185484,
2025-03-08,0.5399999999999998,0.0,0.0,0.0,
2025-03-09,0.5199999999999999,0.0,0.0,0.04754868,
2025-03-10,0.004,0.0,0.0,0.20849682,
2025-03-11,0.348,0.0,0.0,0.4659231,
2025-03-12,0.96,0.0,0.0,1.0928868,
2025-03-13,13.028999999999996,4.9,15.62002,8.124969,
2025-03-14,1.9689580824388708,9.1,3.3485384,2.9767253,
2025-03-15,0.008,0.0,0.00011730194,0.25351828,
2025-03-16,1.5380457969008052,1.2999999999999998,2.2181988,2.4491775,
2025-03-17,0.0579999999999999,0.0,0.005342722,2.564112,
2025-03-18,1.0279999999999996,0.8,1.8608747,1.0632292,
2025-03-19,0.006,0.0,0.0140891075,0.08913435,
2025-03-20,0.0,0.0,0.0,0.09825711,
2025-03-21,0.0,0.0,0.0,0.09726222,
2025-03-22,0.043,0.0,0.025862932,0.018276077,
2025-03-23,1.064501939669838,0.0,2.3366532,1.1701202,
2025-03-24,6.362999999999997,5.8,6.674383,5.754495,
2025-03-25,0.026,0.0,0.031075478,0.09688071,
2025-03-26,1.631979041219435,0.7000000000000001,2.5355864,1.6957766,
2025-03-27,0.7299999999999999,1.1,1.414547,1.0480675,
2025-03-28,0.003,0.0,0.0,0.043797687,
2025-03-29,0.0,0.0,0.0,0.055386335,
2025-03-30,0.0,0.0,0.0,0.083127774,
2025-03-31,0.0,0.0,0.0017814636,0.40173656,
2025-04-01,0.007,0.0,0.0,0.15105861,
2025-04-02,0.0,0.0,0.0,0.079203464,
2025-04-03,0.0129999999999999,0.0,0.0,0.03891638,
2025-04-04,0.009,0.0,0.0,0.023258902,
2025-04-05,4.550999999999999,1.2,5.1584334,3.6438005,
2025-04-06,0.01,0.0,4.7683716e-07,0.13822731,
2025-04-07,0.1159999999999999,0.0,0.099797845,0.13985088,
2025-04-08,0.726,0.0,1.2442745,0.9547381,
2025-04-09,3.4855228984504034,5.8,4.630209,3.562501,
2025-04-10,0.4060000000000001,0.0,0.28762245,0.36447477,
2025-04-11,1.0450000000000002,0.8,1.2304821,1.1449568,
2025-04-12,0.001,0.0,0.023575783,0.16206527,
2025-04-13,0.065,0.0,0.2725374,0.235867,
2025-04-14,0.3119999999999999,0.0,0.2616799,0.118863724,
