stebejimo_laikas,oro_temp,juntamoji_temp,vejo_greitis,vejo_gusis,vejo_kryptis,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,oro_salygos
2021-09-26,10.691666666666668,10.691666666666668,2.3375,7.8,294.0,28.708333333333332,1021.8791666666666,80.91666666666667,0.0,giedra
2021-09-27,8.862499999999999,8.75,1.6875,6.4,55.0,59.5,1027.5,78.58333333333333,0.0,debesuota
2021-09-28,10.554166666666665,10.554166666666665,1.7541666666666667,5.1,65.0,95.41666666666667,1029.4166666666667,76.70833333333333,0.0,debesuota
2021-09-29,9.279166666666667,9.279166666666667,2.6166666666666667,6.8,119.0,81.375,1031.2791666666667,81.66666666666667,0.0,debesuota
2021-09-30,9.970833333333333,9.970833333333333,4.604166666666667,11.4,137.0,71.45833333333333,1028.8416666666667,72.875,0.0,debesuota
2021-10-01,8.708333333333334,8.708333333333334,2.3291666666666666,6.6,147.0,87.04166666666667,1029.4791666666667,89.41666666666667,0.30000000000000004,debesuota
2021-10-02,8.583333333333334,8.583333333333334,3.2583333333333333,12.5,139.0,76.29166666666667,1025.4083333333333,84.5,1.3,debesuota
2021-10-03,11.808333333333332,11.808333333333332,4.1000000000000005,10.4,127.0,47.041666666666664,1023.6166666666667,64.75,0.0,debesuota
2021-10-04,11.691666666666668,11.691666666666668,4.566666666666666,11.2,142.0,83.58333333333333,1024.575,62.875,0.0,debesuota
2021-10-05,11.970833333333333,11.970833333333333,5.970833333333334,13.4,139.0,37.125,1026.1333333333334,57.333333333333336,0.0,giedra
2021-10-06,11.358333333333334,11.358333333333334,6.6375,15.3,141.0,23.583333333333332,1028.3625,56.708333333333336,0.0,giedra
2021-10-07,7.408333333333334,6.833333333333333,3.375,10.2,139.0,0.5416666666666666,1035.7541666666666,58.0,0.0,giedra
2021-10-08,6.0,5.583333333333333,1.4791666666666667,5.3,129.0,0.0,1039.6875,66.75,0.0,giedra
2021-10-09,5.1000000000000005,5.1000000000000005,0.7833333333333333,3.2,200.0,0.0,1038.2458333333334,73.875,0.0,giedra
2021-10-10,4.8,4.3625,1.5791666666666666,5.3,102.0,0.0,1033.1666666666667,74.66666666666667,0.0,giedra
2021-10-11,3.9375,2.7458333333333336,2.1625,5.2,158.0,60.86363636363637,1021.5041666666666,74.375,0.0,debesuota
2021-10-12,4.945833333333334,3.841666666666667,2.5625,7.6,159.0,48.083333333333336,1010.9,85.125,0.0,giedra
2021-10-13,4.958333333333333,4.233333333333333,1.8375000000000001,6.8,146.0,81.38888888888889,1014.0833333333334,87.91666666666667,0.1,rūkas
2021-10-14,5.45,4.883333333333334,2.1374999999999997,6.9,204.0,73.52173913043478,1017.7666666666668,86.95833333333333,0.2,debesuota
2021-10-15,8.741666666666667,8.741666666666667,4.716666666666667,10.2,192.0,98.5,1010.3208333333333,91.58333333333333,4.1,nedidelis lietus
2021-10-16,7.979166666666667,7.979166666666667,3.2375000000000003,9.3,236.0,64.25,1013.5583333333334,82.95833333333333,0.8,debesuota
2021-10-17,7.329166666666667,7.329166666666667,3.1208333333333336,7.1,214.0,92.91666666666667,1015.2458333333334,85.08333333333333,0.8999999999999999,debesuota
2021-10-18,6.2124999999999995,5.466666666666666,3.1374999999999997,8.8,292.0,36.625,1018.9833333333332,76.95833333333333,1.1,giedra
2021-10-19,4.2375,4.1499999999999995,1.8416666666666666,7.0,151.0,54.791666666666664,1023.75,76.75,0.0,debesuota
2021-10-20,9.958333333333334,9.958333333333334,5.1499999999999995,10.2,200.0,95.5,1007.025,91.70833333333333,2.3,nedidelis lietus
2021-10-21,12.008333333333333,12.008333333333333,5.479166666666667,14.6,184.0,91.45833333333333,994.5791666666668,81.5,2.4,debesuota
2021-10-22,7.008333333333333,6.870833333333334,5.758333333333333,13.6,210.0,95.95833333333333,999.3916666666668,76.75,3.2,nedidelis lietus
2021-10-23,5.145833333333333,2.8791666666666664,4.404166666666667,11.7,239.0,84.66666666666667,1011.2083333333334,85.375,2.6,debesuota
2021-10-24,2.875,1.1458333333333333,2.4875000000000003,7.8,305.0,66.41666666666667,1028.8166666666666,84.08333333333333,0.0,debesuota
2021-10-25,3.154166666666667,0.9041666666666667,3.5208333333333335,10.0,173.0,0.0,1027.3083333333334,81.70833333333333,0.0,giedra
2021-10-26,4.891666666666667,3.3249999999999997,3.233333333333333,7.5,199.0,51.208333333333336,1018.9250000000001,79.16666666666667,0.9,debesuota
2021-10-27,9.204166666666667,9.204166666666667,3.9875000000000003,10.0,212.0,96.5,1017.9333333333334,90.125,2.1,debesuota
2021-10-28,11.429166666666667,11.429166666666667,3.0833333333333335,9.3,251.0,100.0,1021.3083333333334,94.625,2.1,debesuota
2021-10-29,10.799999999999999,10.799999999999999,3.545833333333333,8.1,168.0,38.583333333333336,1022.7541666666666,82.08333333333333,0.0,giedra
2021-10-30,9.704166666666667,9.704166666666667,3.716666666666667,7.9,156.0,0.0,1020.2208333333333,79.25,0.0,giedra
2021-10-31,8.308333333333334,8.308333333333334,3.8166666666666664,8.8,162.0,0.0,1017.8916666666668,79.41666666666667,0.0,giedra
2021-11-01,6.699999999999999,5.8,4.4875,9.9,139.0,0.0,1013.9041666666667,79.66666666666667,0.0,giedra
2021-11-02,5.8999999999999995,4.916666666666667,3.5875,8.5,122.0,82.91666666666667,1009.0916666666667,89.875,0.5,migla
2021-11-03,6.404166666666666,6.404166666666666,2.316666666666667,5.9,145.0,95.41666666666667,1006.5875,96.58333333333333,9.9,nedidelis lietus
2021-11-04,7.995833333333334,7.470833333333334,3.9125,11.6,114.0,97.0,1010.9375,88.70833333333333,0.2,debesuota
