,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
915,2020-07-04,0.10198632,1.4364351,4.693842,1.2792206,5.714956,0.44147465,5.2793975
916,2020-07-05,0.24832515,2.1538475,6.689537,1.6101674,6.86945,0.9503801,8.417853
917,2020-07-06,0.42838708,1.4630138,5.4450955,1.345468,5.9457355,0.50801677,7.0633793
918,2020-07-07,0.022533469,1.1104165,4.1520886,0.799597,2.6658256,0.31634763,7.0636325
919,2020-07-08,0.023467615,0.93269783,3.4310167,1.1139312,2.5759,0.2868297,5.3193855
920,2020-07-09,0.019690959,0.9703569,3.2573717,1.0371639,2.9873374,0.35434484,5.655817
921,2020-07-10,0.37277618,1.9297322,5.809742,1.8993181,5.92499,0.42257392,7.181112
922,2020-07-11,0.25827613,1.2530394,4.2941804,1.2417027,4.1547422,0.30686405,5.254129
923,2020-07-12,0.05376031,1.0132967,3.4317234,0.62907225,2.1095355,0.34407213,5.417887
924,2020-07-13,0.03703256,0.93349737,3.2313051,0.6687359,2.164399,0.36903682,5.7684035
925,2020-07-14,0.071984075,0.95868737,3.7472446,0.7391,2.5586321,0.38739833,5.7131042
926,2020-07-15,0.054489225,0.6578201,3.1891344,0.8450156,2.478316,0.34939048,4.5480456
927,2020-07-16,0.054581802,0.6483622,3.0629113,0.9129698,2.7945194,0.4367615,4.184528
928,2020-07-17,0.056899924,0.5504272,3.2820175,0.8568966,3.2601376,0.33332366,3.829098
929,2020-07-18,0.30813688,0.5739314,3.2755873,0.69539803,3.8185956,0.37214568,4.0730634
930,2020-07-19,0.088399775,0.6304255,3.555318,0.8468357,4.3112125,0.5026039,3.8690097
931,2020-07-20,0.20176606,1.0614121,5.070966,1.2694172,6.0792007,0.7567642,5.383907
932,2020-07-21,0.23967399,1.0024799,4.338798,1.0350503,4.6487412,0.24055243,5.465034
933,2020-07-22,0.018463992,0.50456184,2.3889618,0.66499513,2.223189,0.23195593,4.0580707
934,2020-07-23,0.03195263,0.699503,2.8199174,0.7695537,2.1976907,0.25073963,4.05727
935,2020-07-24,0.19111305,0.9832268,3.5134554,0.864845,2.9243965,0.41055083,5.3584366
936,2020-07-25,0.16358584,2.273916,5.8158455,1.7847705,5.8546576,0.5697691,8.155792
937,2020-07-26,0.112125374,1.5510129,5.141754,1.2893357,5.9452252,0.5464184,6.3745685
938,2020-07-27,0.13732938,2.1966164,5.9471207,1.4035797,8.860356,0.52643305,7.2419114
939,2020-07-28,0.17475228,2.349324,6.999792,1.3819002,8.257527,0.66636235,7.7919993
940,2020-07-29,0.07368656,1.7504343,5.766798,1.3998193,5.79109,0.39781106,7.6502395
941,2020-07-30,0.028777793,1.4298673,4.2115006,1.0881582,3.1747167,0.413748,7.77554
942,2020-07-31,0.0148642,0.78835493,3.1892068,0.9591008,3.3914738,0.18530078,4.6254478
943,2020-08-01,0.08518869,0.6466833,3.7696962,0.90533024,2.7886562,0.22719878,4.189608
944,2020-08-02,0.16013424,0.97597164,4.3119464,0.7591725,2.5645542,0.3789929,5.4752674
945,2020-08-03,0.09079096,1.4066778,5.2804985,0.98339844,4.6119065,0.93111926,6.9064727
946,2020-08-04,0.072942026,1.9863858,7.307283,1.2228829,6.021332,0.659788,7.9681735
947,2020-08-05,0.04455531,1.0428671,4.860433,1.1604675,5.380692,0.36373982,5.2839036
948,2020-08-06,0.07491907,0.97539663,4.4737153,0.7866087,3.6145666,0.6709604,5.6093636
949,2020-08-07,0.21112978,1.2829279,5.398468,0.7731349,4.8218474,0.917093,7.573937
950,2020-08-08,0.30224618,1.7150093,6.06029,0.7206548,5.4148583,0.84161323,8.695654
951,2020-08-09,0.1829076,0.84021646,3.9617796,0.59828,4.9366374,0.4281819,4.9957705
952,2020-08-10,0.35119367,1.4132589,5.666607,0.847348,5.857628,0.50933725,7.143392
953,2020-08-11,0.04913563,0.5274958,2.9734535,0.70180243,2.9237468,0.31264028,4.374402
954,2020-08-12,0.051316354,0.7005711,3.5379572,0.72692275,2.2262099,0.27159768,4.122647
955,2020-08-13,0.08697936,1.0787455,4.3360553,0.95350283,2.719608,0.4383771,5.7650046
956,2020-08-14,0.17185366,1.4855024,5.5830283,1.0410758,4.086305,0.7065043,7.2819285
957,2020-08-15,0.24072652,1.468088,6.6094937,1.0281392,4.9716177,0.9097889,9.035179
958,2020-08-16,0.4501083,1.8148876,7.6111584,0.8817544,5.0199437,0.8448775,10.765777
959,2020-08-17,0.37725624,2.0199835,7.3286157,0.7385812,4.496088,0.68482405,10.093895
960,2020-08-18,0.24488996,1.3914361,5.7794,1.0514168,5.695118,0.5987486,7.5452113
961,2020-08-19,0.17863281,1.3198556,5.2967935,1.665362,8.335919,0.2548526,5.2175384
962,2020-08-20,0.25980118,2.4871323,7.087806,1.3821578,8.013299,0.38392958,7.44175
963,2020-08-21,0.28642437,2.1836016,6.636045,1.5190187,7.5471168,0.4177959,8.072284
964,2020-08-22,0.24784851,2.4660876,6.776912,1.4512221,7.6890693,0.6676376,8.889687
