time,tp,t2m
2022-03-04,0.51994765,-1.300354
2022-03-05,0.044501305,-4.61499
2022-03-06,0.0050754845,-2.059204
2022-03-07,1.1832409,-0.61553955
2022-03-08,0.37801033,-3.300232
2022-03-09,0.3541708,-7.5513
2022-03-10,0.0,-6.566742
2022-03-11,0.0,-2.580719
2022-03-12,0.0,-0.34387207
2022-03-13,0.0,-1.9250793
2022-03-14,0.0,-1.8868103
2022-03-15,0.0,-0.33413696
2022-03-16,0.0,-2.1228027
2022-03-17,0.0,-2.36615
2022-03-18,0.0,-2.5740662
2022-03-19,0.0,-0.15689087
2022-03-20,0.0,-0.41973877
2022-03-21,0.0,2.826233
2022-03-22,0.0,0.44424438
2022-03-23,0.008402467,2.864563
2022-03-24,0.08995177,1.586853
2022-03-25,0.0,6.2098694
2022-03-26,0.09744573,0.1161499
2022-03-27,0.05209458,3.0299683
2022-03-28,0.046634436,5.4957275
2022-03-29,0.11977935,-2.5291138
2022-03-30,0.5965376,-2.6721191
2022-03-31,0.0,-2.0462646
2022-04-01,0.07287359,0.8746338
2022-04-02,0.34293842,-1.7292786
2022-04-03,0.0038146973,-1.9132385
2022-04-04,1.986538,2.163086
2022-04-05,5.300569,-1.8296814
2022-04-06,3.09766,7.8009033
2022-04-07,1.0647426,9.935333
2022-04-08,4.646176,2.14917
2022-04-09,0.79178864,1.1838074
2022-04-10,0.902727,0.12057495
2022-04-11,0.36788893,-0.053741455
2022-04-12,1.3451021,-0.6616516
2022-04-13,0.0,1.664154
2022-04-14,0.05644512,8.183655
2022-04-15,3.872786,3.0828552
2022-04-16,0.535259,0.88827515
2022-04-17,0.035467267,1.0328369
2022-04-18,0.59492016,5.284607
2022-04-19,6.5526447,8.356049
2022-04-20,11.137686,9.753326
2022-04-21,0.16564894,5.5844116
2022-04-22,1.9556713,7.673523
2022-04-23,12.677403,5.658783
2022-04-24,7.2607565,5.8002014
2022-04-25,0.41519323,6.631195
2022-04-26,0.09723091,4.637146
2022-04-27,0.012555122,1.1668701
2022-04-28,0.0,2.2703857
2022-04-29,0.12494421,0.60079956
2022-04-30,0.0,1.3597107
2022-05-01,2.8730068,5.8185425
2022-05-01,2.8730068,5.8185425
2022-05-02,0.026279747,4.00531
2022-05-03,0.41869307,1.1401672
2022-05-04,0.0,2.464325
2022-05-05,0.0,8.370636
2022-05-06,6.9448223,8.220306
2022-05-07,1.259078,11.653046
2022-05-08,0.73799515,3.740326
2022-05-09,0.0,2.9227905
2022-05-10,0.0,8.331757
2022-05-11,0.2660942,14.309814
2022-05-12,10.343197,9.161896
2022-05-13,0.7432537,7.620392
2022-05-14,2.3410394,8.809906
2022-05-15,0.30225182,6.6877747
2022-05-16,0.52387905,4.743225
2022-05-17,1.2862163,4.95755
2022-05-18,0.02861926,6.192047
2022-05-19,0.021624565,13.089661
2022-05-20,4.434763,11.691895
2022-05-21,20.730625,8.855713
2022-05-22,0.8179345,8.442596
2022-05-23,0.0,6.4064026
2022-05-24,0.0,11.322327
2022-05-25,10.284967,12.783386
2022-05-26,8.137735,10.110474
2022-05-27,3.637085,8.410492
2022-05-28,3.174775,6.5298157
2022-05-29,3.5257754,6.5462646
2022-05-30,14.394169,9.629974
2022-05-31,0.68237925,10.442596
2022-06-01,5.103392,12.546082
2022-06-02,4.8740416,8.835419
2022-06-03,0.6515133,9.755615
2022-06-04,0.101592064,10.610962
2022-06-05,0.0038146973,9.879791
2022-06-06,0.0,15.657898
2022-06-07,0.5211102,17.18158
2022-06-08,9.321886,15.387268
2022-06-09,2.9109993,18.089874
2022-06-10,4.5151978,18.075073
2022-06-11,0.7634709,14.82843
2022-06-12,0.20170774,12.84787
2022-06-13,20.161415,14.74292
2022-06-14,5.98732,11.78891
2022-06-15,0.5947094,12.318634
2022-06-16,3.1022463,13.375366
2022-06-17,0.6827793,12.273529
2022-06-18,0.29172325,18.63498
2022-06-19,0.63013774,14.818176
2022-06-20,22.470106,15.129425
2022-06-21,65.17394,14.008453
2022-06-22,0.0,13.55188
2022-06-23,0.0,14.970673
2022-06-24,0.0,15.573944
2022-06-25,0.0008904487,18.28476
2022-06-26,0.0,18.471497
2022-06-27,0.090204686,20.392365
2022-06-28,0.42527246,20.148865
2022-06-29,7.6447606,19.332214
2022-06-30,0.19879194,21.040527
2022-07-01,0.039179802,21.330261
2022-07-01,0.039179802,21.330261
2022-07-02,1.1110611,19.986023
2022-07-03,0.6503582,17.08905
2022-07-04,0.8810425,18.344696
2022-07-05,0.07243276,17.542572
2022-07-06,27.884745,13.483368
2022-07-07,0.85921353,13.287964
2022-07-08,0.5545191,15.080475
2022-07-09,1.7456486,13.621002
2022-07-10,1.2768623,12.092834
2022-07-11,0.9851569,15.910492
2022-07-12,32.876957,14.116394
2022-07-13,0.75621223,16.014313
2022-07-14,0.24967384,13.0998535
2022-07-15,1.4429704,12.066162
2022-07-16,2.999212,13.025726
2022-07-17,1.8823234,12.279266
2022-07-18,0.896571,14.747437
2022-07-19,0.45419824,16.33786
2022-07-20,0.013477899,13.651245
2022-07-21,0.0,16.795227
2022-07-22,0.0,19.948975
2022-07-23,0.66865903,19.224335
2022-07-24,2.4443367,15.608795
2022-07-25,0.016578317,14.541077
2022-07-26,4.417822,18.037048
2022-07-27,10.749137,13.092865
2022-07-28,0.3872955,13.596527
2022-07-29,0.15228838,12.20932
2022-07-30,0.0,15.285217
2022-07-31,24.989635,18.616028
2022-08-01,4.7796555,15.335022
2022-08-02,0.3110746,14.5217285
2022-08-03,0.0,12.458527
2022-08-04,0.0,15.454712
2022-08-05,0.026731372,20.757599
2022-08-06,11.800348,12.946838
2022-08-07,0.0017808676,14.403473
2022-08-08,0.0,13.869171
2022-08-09,5.250409,13.90332
2022-08-10,0.26906443,13.896057
2022-08-11,0.0,15.058594
2022-08-12,0.0,17.172943
2022-08-13,0.0,19.510345
2022-08-14,0.5918393,19.39685
2022-08-15,5.2949824,21.071411
2022-08-16,0.0,21.727295
2022-08-17,0.048503876,20.007446
2022-08-18,0.0683651,22.406677
2022-08-19,0.0,20.352295
2022-08-20,0.0667572,18.719818
2022-08-21,0.67583466,18.796387
2022-08-22,0.22472148,20.28775
2022-08-23,0.0,21.473389
2022-08-24,0.0,21.897736
2022-08-25,0.31813622,21.152863
2022-08-26,0.06739521,19.509674
2022-08-27,0.0071235895,18.103455
2022-08-28,0.0133604705,20.37024
2022-08-29,4.8776784,17.987885
2022-08-30,2.0397558,15.308716
2022-08-31,0.16415249,10.553406
2022-09-01,0.3767624,8.104767
2022-09-02,0.017574072,9.9270935
2022-09-03,0.30462474,10.172424
2022-09-04,0.019002676,7.8927307
2022-09-05,0.027878523,7.637146
2022-09-06,0.0,6.1887817
2022-09-07,0.6443572,10.345825
2022-09-08,0.005848497,8.215027
2022-09-09,0.0,9.80249
2022-09-10,0.1171813,11.256714
2022-09-11,8.142963,11.497772
2022-09-12,0.83878744,10.758118
2022-09-13,0.23203865,10.506226
2022-09-14,2.8176498,12.290222
2022-09-15,1.2571356,11.262451
2022-09-16,0.58901817,10.623413
2022-09-17,0.17185402,8.237732
2022-09-18,2.8874788,10.349304
2022-09-19,1.8282816,10.585602
2022-09-20,1.6081129,9.1935425
2022-09-21,2.2659032,8.333374
2022-09-22,1.7160954,6.877228
2022-09-23,0.45490026,6.5859985
2022-09-24,0.41796505,5.688568
2022-09-25,0.07498276,7.1901245
2022-09-26,0.32834816,8.694366
2022-09-27,0.1238513,9.156708
2022-09-28,8.980497,7.4002686
2022-09-29,1.4120188,5.583618
2022-09-30,0.018255949,9.12738
2022-10-01,9.040154,4.9261475
2022-10-01,9.040154,4.9261475
2022-10-02,0.35894966,9.127686
2022-10-03,18.453278,8.013702
2022-10-04,8.78789,9.628235
2022-10-05,0.024434209,10.188507
2022-10-06,0.18678042,10.624359
2022-10-07,0.0,9.247253
2022-10-08,2.1972735,12.250153
2022-10-09,0.7905879,5.07666
2022-10-10,0.0,6.9832764
2022-10-11,0.23320545,7.0994873
2022-10-12,1.0029223,6.4922485
2022-10-13,0.050637484,7.3769226
2022-10-14,0.0,8.678162
