BrO,BrO_Error,H2O,H2O_Error,HCHO,HCHO_Error,NO2,NO2Tropo,NO2Tropo_Error,NO2_Error,O3,O3_Error,SO2,SO2_Error,lat,lon,date,km_to_Vilnius
37799743000000.0,20232108000000.0,7.822175,17.003435,8929928000000000.0,5169875000000000.0,4303663800000000.0,1062384500000000.0,1912697800000000.0,647847360000000.0,373.62973,0.8145347,-0.43035755,2.4388168,54.77631,24.745811,2017-05-12,35.681370993125036
58206800000000.0,20049522000000.0,9.431613,17.647032,-5294455600000000.0,4853406000000000.0,4552892400000000.0,2460296300000000.0,2350837700000000.0,509579550000000.0,359.22903,0.84402704,0.0023828545,0.0059192358,54.755367,24.745504,2017-05-13,35.13394960033654
37997650000000.0,19119703000000.0,12.294403,17.385117,1.1341656e+16,5434273000000000.0,4445298700000000.0,1424925300000000.0,1824162700000000.0,503040530000000.0,349.80475,0.79638827,0.3414051,0.45021114,54.704662,25.24662,2017-05-14,2.8790645200473937
27799184000000.0,15459811000000.0,14.310714,21.13503,3171944500000000.0,1848520400000000.0,4078902800000000.0,,,313106300000000.0,346.70657,0.6855946,-0.024490027,0.07278307,54.780853,25.104237,2017-05-15,15.340905568469418
41943917000000.0,19831150000000.0,8.250024,15.865982,-2057342800000000.0,2374844200000000.0,4506416600000000.0,1415316000000000.0,2031200500000000.0,600212750000000.0,360.69373,0.76019937,0.224323,0.4443988,54.68924,25.676159,2017-05-16,25.48278055058692
44673112000000.0,19006820000000.0,,,7858967000000000.0,3857390000000000.0,4394242000000000.0,1498212900000000.0,2474122600000000.0,519502370000000.0,351.71252,0.7699522,-1.3496029,1.0889679,54.549843,25.46397,2017-05-17,19.33987887682727
57913790000000.0,15114568000000.0,,,,,3668473600000000.0,,,292638840000000.0,325.0707,0.97468436,0.20974517,0.24833861,54.521217,25.501186,2017-05-18,23.326680199490976
35824603000000.0,16729623000000.0,16.675787,19.992651,,,4036842000000000.0,,,308400130000000.0,319.0606,0.7755973,-0.1820207,6.326919,54.631756,25.702255,2017-05-19,27.868738611965735
32662266000000.0,16136417000000.0,,,-8431660000000000.0,1.1857496e+16,4914818600000000.0,4010767000000000.0,2381347600000000.0,371256200000000.0,329.1276,0.7346901,0.75863826,0.72227013,54.702347,25.4801,2017-05-20,12.987993623145297
48287223000000.0,14746198000000.0,22.3396,16.958794,,,3821328800000000.0,,,357103850000000.0,320.71835,0.916964,-0.024660988,0.10851106,54.751003,25.231787,2017-05-21,7.733177015448968
50790950000000.0,15411356000000.0,,,,,3849667800000000.0,,,339929650000000.0,321.83054,0.93364644,-0.17748661,1.9189565,54.550816,25.028397,2017-05-22,22.175744641400726
53865504000000.0,21721673000000.0,10.415547,15.947775,-3.0676003e+16,4.3499107e+16,5302251000000000.0,6254648700000000.0,3201429400000000.0,619677550000000.0,348.7093,0.84257144,-0.052067496,0.26468247,54.812664,25.235876,2017-05-23,14.23162225187034
